movie_title,genre,release_date,director,actor_1,actor_2,rating,budget,box_office,duration_minutes
"Ten, The",Romance,10/7/2021,Kattie Sturgis,Yettie Saterweyte,Row Moss,6.0,Koruna,Euro,240
Blood into Wine,Action,1/29/2001,Mel Gricks,Torey Whyman,Jessey Klimshuk,2.5,Zloty,Pula,231
Anything But Love (a.k.a. Standard Time),Romance,1/27/2012,Timofei Mellem,Zebulen Heinke,Leicester Darbon,2.8,Rupiah,Yuan Renminbi,104
Holocaust,Action,11/30/2000,Melly Rootes,Jarad Jiggens,Stacy McGrayle,1.3,Ruble,Yuan Renminbi,160
Beau Geste,Romance,8/3/2011,Kandy Dell'Abbate,Dwain Liffey,Cati McDuffy,5.7,Yuan Renminbi,Euro,143
"Student, The (El estudiante)",Drama,1/31/2006,Hallie McSpirron,Sax Akast,Rosana Ioselevich,2.3,Yuan Renminbi,Yuan Renminbi,71
Senna,Drama,8/31/2020,Carla Redwood,Ax Weavers,Nady Freebury,1.9,Rupiah,Naira,233
"Thing with Two Heads, The",Romance,3/28/2012,Morty Penticost,Bjorn Coultar,Yul Aindrais,1.4,Peso,Rupee,95
The Horribly Slow Murderer with the Extremely Inefficient Weapon,Romance,8/27/2001,Alyss Kenworth,Dayna MacAlaster,Jo McGee,7.1,Euro,Dollar,162
21 Hours at Munich,Horror,11/12/2001,Pierson Luety,Raffaello Reimer,Moe MacGillivrie,0.3,Yuan Renminbi,Dollar,226
Hatchet,Action,3/10/2013,Clay Mitcham,Marcus Bartkiewicz,Aaron Mardling,7.9,Peso,Franc,99
For a Lost Soldier (Voor een Verloren Soldaat),Comedy,10/12/2021,Ellyn Pagnin,Sybila Harniman,Reinwald Lednor,6.7,Dirham,Metical,94
"Fast & Furious (Fast and the Furious 4, The)",Horror,6/5/2010,Michelle Winsiowiecki,Glynn Sute,Andriette Ince,4.5,Yuan Renminbi,Krone,221
Drowning by Numbers,Romance,1/12/2007,Valentin Suttell,My Prester,Dacia Dislee,8.7,Peso,Yuan Renminbi,187
Whitewash,Comedy,12/1/2009,Benji Andriesse,Cam Shills,Misha Ganforthe,8.2,Peso,Rupiah,94
